unemprate,Year,State,total.population,male,female,under_5yrs,X5to9_yrs,X10to14_yrs,X15to19_yrs,X60to64_yrs,X65to74_yrs,X75to84_yrs,X85andover,median_age,X18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,ES_16above,ES_inlabor,ES_not_inlabor,ES_own_under6,ES_Gov,ES_Const,ES_Manuf,Male_household_nofamily,None_Family_household,Householder_living_alone,Household_people_under18,Population_in_household,Relationship_child,Never_Married,Divorced,Kindergarten,X12grade_nodiploma,Some_college_no_degree,Grade_professional_degree,Naturalised_US_citizen,Not_US_citizen
10.6,2010,Oregon,3761925,1862256,1899669,234201,236176,240004,256410,212588,267055,166559,74151,38.1,2898286,3220250,66427,60612,135518,3761925,1651063,3000732,1935232,1065500,270235,247860,123993,207948,62194,542152,417788,456973,3677041,1003128,478808,168359,45387,182976,667596,264031,131305,233593
8.5,2010,Pennsylvania,12612705,6138935,6473770,727275,760165,801981,920864,684262,941515,699379,285963,39.8,9791063,10460096,1347052,18205,332435,12612705,5537308,10147657,6418310,3729347,847381,694589,368430,771180,206716,1709560,1437503,1503110,12183579,3581429,1705557,408518,147888,739122,1362754,861438,346978,357354
11.2,2010,Rhode Island,1056389,509859,546530,58920,61968,65819,80967,55532,70663,54359,24938,38.9,826217,866678,62082,4521,30991,1056389,460734,855547,564706,290841,68902,68646,30366,61436,17572,151733,124253,127535,1012774,300751,155660,38425,12243,66400,124247,84177,61936,71612
11.2,2010,South Carolina,4511428,2195677,2315751,295906,289115,295992,328669,256994,342658,187779,64999,37.4,3442167,3034000,1269484,14095,54288,4511428,2088161,3567959,2243697,1324262,335873,318267,161576,280960,74856,568082,478741,574064,4371827,1280869,586456,155904,67763,330359,581690,251711,66105,146154
5,2010,South Dakota,799462,400246,399216,56494,52311,55942,58766,38734,54959,40515,18571,37.2,600119,692330,8874,68215,7126,799462,357725,623566,433669,189897,64545,65495,26665,41192,11862,109589,91588,100198,766207,219783,100827,30998,9857,30291,112398,38047,7414,11249
9.7,2010,Tennessee,6234968,3039629,3195339,403467,408594,416696,434219,343831,458162,262331,94257,37.6,4747088,4910745,1037376,15237,87257,6234968,2769457,4919958,3098473,1821485,462855,400290,206392,388841,105758,798570,675935,807094,6082854,1761010,728322,271195,84856,443783,849477,332035,84812,188488
8.1,2010,Texas,24311891,12058770,12253121,1903554,1846029,1811920,1849088,1070821,1374422,802838,289382,33.4,17639656,17503446,2864666,119680,904831,24311891,9718470,18380464,12065652,6314812,2185367,1633861,960632,1081154,416293,2547028,2108263,3357960,23730489,7808801,3071957,836109,391643,1515336,3318190,1284405,1245278,2668299
7.8,2010,Utah,2657236,1334860,1322376,255012,234887,216634,217112,97531,128560,78308,28429,28.8,1823488,2375876,27030,30831,53046,2657236,952370,1907903,1319947,587956,296771,197303,98085,132532,34457,213108,164798,370806,2612864,955354,298150,75093,46993,93891,407938,143129,71025,147258
6.1,2010,Vermont,624258,307670,316588,32255,34841,39033,47481,37238,46093,29711,11433,41,491759,596947,5494,1832,7396,624258,319364,509527,350953,158574,37309,48200,25794,35498,10633,93860,71863,76524,599721,155662,83398,26914,6311,26311,71631,55892,13586,11251
7.1,2010,Virginia,7841754,3849352,3992402,506249,497931,512922,559524,410242,514397,302445,112336,37.2,6001677,5479975,1532150,24941,416549,7841754,3315739,6216349,4188053,2028296,583407,784595,288394,311717,122402,974420,797014,1003020,7600728,2223916,1024786,253567,103227,438680,1020903,722841,375650,472437
10,2010,Washington,6561297,3267488,3293809,426450,420676,435749,462561,347427,418455,254171,107951,37,5000516,5199167,229885,95212,457771,6561297,2829352,5186380,3432213,1754167,493073,513474,229945,334247,112838,911997,714844,840449,6420822,1818277,857248,275273,82913,277877,1086117,481636,364326,468420
